"","mean","StdDev","out","w.VNM","w.DBD","w.HPG","w.ACB"
"result.1",0.000496063145824285,0.010195661251502,0.000103951508355378,0.3953249189454,0.368647252955411,0.0310754117464916,0.204952416352698
"result.2",0.0004963776657322,0.010195663785133,0.000103951560019472,0.394827025951884,0.368801529955264,0.0311047338901616,0.20526671020269
"result.3",0.000496692185640114,0.0101956713860223,0.000103951715011754,0.394329132958369,0.368955806955117,0.0311340560338317,0.205581004052682
"result.4",0.000497006705548028,0.0101956840541586,0.000103951973332224,0.393831239964853,0.369110083954971,0.0311633781775018,0.205895297902675
"result.5",0.000497321225455942,0.0101957017895229,0.000103952334980881,0.393333346971337,0.369264360954824,0.0311927003211718,0.206209591752667
"result.6",0.000497635745363857,0.0101957245920889,0.000103952799957727,0.392835453977822,0.369418637954677,0.0312220224648419,0.206523885602659
"result.7",0.000497950265271771,0.0101957524618225,0.00010395336826276,0.392337560984306,0.36957291495453,0.0312513446085119,0.206838179452652
"result.8",0.000498264785179685,0.0101957853986822,0.000103954039895981,0.39183966799079,0.369727191954384,0.031280666752182,0.207152473302644
"result.9",0.000498579305087599,0.0101958234026188,0.00010395481485739,0.391341774997275,0.369881468954237,0.031309988895852,0.207466767152636
"result.10",0.000498893824995513,0.0101958664735758,0.000103955693146987,0.390843882003759,0.37003574595409,0.0313393110395221,0.207781061002629
"result.11",0.000499208344903428,0.0101959146114888,0.000103956674764772,0.390345989010243,0.370190022953944,0.0313686331831921,0.208095354852621
"result.12",0.000499522864811342,0.0101959678162862,0.000103957759710744,0.389848096016728,0.370344299953797,0.0313979553268622,0.208409648702613
"result.13",0.000499837384719256,0.0101960260878886,0.000103958947984905,0.389350203023212,0.37049857695365,0.0314272774705322,0.208723942552606
"result.14",0.00050015190462717,0.0101960894262091,0.000103960239587253,0.388852310029696,0.370652853953504,0.0314565996142023,0.209038236402598
"result.15",0.000500466424535085,0.0101961578311533,0.000103961634517789,0.388354417036181,0.370807130953357,0.0314859217578723,0.20935253025259
"result.16",0.000500780944442999,0.0101962313026193,0.000103963132776513,0.387856524042665,0.37096140795321,0.0315152439015424,0.209666824102582
