time,rf,rm,,,,,,,,
02/06/2022,0.000127425,-0.008387712,,,,,,,,
03/06/2022,0.000127578,-0.000496655,,,,,,,,
06/06/2022,0.000127425,0.001576111,,,,,,,,
07/06/2022,0.000127617,0.001038752,,,,,,,,
08/06/2022,0.000127578,0.012823789,,,,,,,,
09/06/2022,0.000128193,-8.41036E-05,,,,,,,,
10/06/2022,0.000127809,-0.01813733,,,,,,,,
13/06/2022,0.000129499,-0.044420908,,,,,,,,
14/06/2022,0.000132379,0.00266495,,,,,,,,
15/06/2022,0.000134644,-0.013313718,,,,,,,,
16/06/2022,0.000134413,0.018699596,,,,,,,,
17/06/2022,0.000133915,-0.015631191,,,,,,,,
20/06/2022,0.000134183,-0.030312988,,,,,,,,
21/06/2022,0.000133684,-0.006718062,,,,,,,,
22/06/2022,0.000133492,-0.002729281,,,,,,,,
23/06/2022,0.000133377,0.016771148,,,,,,,,
24/06/2022,0.000133761,-0.002859834,,,,,,,,
27/06/2022,0.000132725,0.014626987,,,,,,,,
28/06/2022,0.000132495,0.01270348,,,,,,,,
29/06/2022,0.00013165,-8.20951E-06,,,,,,,,
30/06/2022,0.000131458,-0.016821417,,,,,,,,
01/07/2022,0.000131343,0.001085504,,,,,,,,
04/07/2022,0.000131727,-0.00281091,,,,,,,,
05/07/2022,0.000131458,-0.011911035,,,,,,,,
06/07/2022,0.000131151,-0.026818139,,,,,,,,
07/07/2022,0.000131189,0.014674542,,,,,,,,
08/07/2022,0.000131842,0.004140663,,,,,,,,
11/07/2022,0.000131189,-0.013676994,,,,,,,,
12/07/2022,0.000131304,0.016904846,,,,,,,,
13/07/2022,0.000131151,-0.000766075,,,,,,,,
14/07/2022,0.000132303,0.007027736,,,,,,,,
15/07/2022,0.000132686,-0.002470034,,,,,,,,
18/07/2022,0.000133646,-0.002340471,,,,,,,,
19/07/2022,0.000133531,0.001563974,,,,,,,,
20/07/2022,0.000133224,0.013417294,,,,,,,,
21/07/2022,0.000133761,0.00362604,,,,,,,,
22/07/2022,0.000133723,-0.003095614,,,,,,,,
25/07/2022,0.000133876,-0.005239546,,,,,,,,
26/07/2022,0.000136024,-0.002885991,,,,,,,,
27/07/2022,0.000150418,0.005037677,,,,,,,,
28/07/2022,0.000144453,0.014340408,,,,,,,,
29/07/2022,0.000141581,-0.001481641,,,,,,,,
01/08/2022,0.000143649,0.020740593,,,,,,,,
02/08/2022,0.000140164,0.008340439,,,,,,,,
03/08/2022,0.000140356,0.006555951,,,,,,,,
04/08/2022,0.000143649,0.003512674,,,,,,,,
05/08/2022,0.000144644,-0.001124267,,,,,,,,
08/08/2022,0.000144185,0.003200983,,,,,,,,
09/08/2022,0.000144567,0.001670977,,,,,,,,
10/08/2022,0.000144874,-0.001866783,,,,,,,,
11/08/2022,0.000140011,-0.003525667,,,,,,,,
12/08/2022,0.000141045,0.00819443,,,,,,,,
15/08/2022,0.00014116,0.009403246,,,,,,,,
16/08/2022,0.000140317,0.000384555,,,,,,,,
17/08/2022,0.000141045,0.000462858,,,,,,,,
18/08/2022,0.000140202,-0.001270309,,,,,,,,
19/08/2022,0.000140471,-0.003517422,,,,,,,,
22/08/2022,0.0001407,-0.006894215,,,,,,,,
23/08/2022,0.000141964,0.008235285,,,,,,,,
24/08/2022,0.000142156,0.004996813,,,,,,,,
25/08/2022,0.000142079,0.009176611,,,,,,,,
26/08/2022,0.000141926,-0.004895723,,,,,,,,
29/08/2022,0.00014296,-0.009176887,,,,,,,,
30/08/2022,0.000143151,0.006759522,,,,,,,,
31/08/2022,0.000143457,0.000875417,,,,,,,,
05/09/2022,0.000144797,-0.002467767,,,,,,,,
06/09/2022,0.000146825,3.91435E-05,,,,,,,,
07/09/2022,0.000148737,-0.026796618,,,,,,,,
08/09/2022,0.000149272,-0.006893667,,,,,,,,
09/09/2022,0.00014866,0.011485501,,,,,,,,
12/09/2022,0.00014801,0.000672657,,,,,,,,
13/09/2022,0.000148125,-0.000976297,,,,,,,,
14/09/2022,0.000149998,-0.006111823,,,,,,,,
15/09/2022,0.00015038,0.003941101,,,,,,,,
16/09/2022,0.000151832,-0.009336416,,,,,,,,
19/09/2022,0.000151679,-0.023176098,,,,,,,,
20/09/2022,0.000153474,0.011199323,,,,,,,,
21/09/2022,0.000167272,-0.006874882,,,,,,,,
22/09/2022,0.000175863,0.003428194,,,,,,,,
23/09/2022,0.000180189,-0.009401498,,,,,,,,
26/09/2022,0.000181023,-0.024042617,,,,,,,,
27/09/2022,0.000188865,-0.006650488,,,,,,,,
28/09/2022,0.000194575,-0.019647847,,,,,,,,
29/09/2022,0.000192685,-0.015346007,,,,,,,,
30/09/2022,0.000194235,0.005363787,,,,,,,,
03/10/2022,0.000194651,-0.040340603,,,,,,,,
04/10/2022,0.000197975,-0.00763963,,,,,,,,
05/10/2022,0.000198466,0.024226909,,,,,,,,
06/10/2022,0.000198277,-0.026932063,,,,,,,,
07/10/2022,0.000198995,-0.035932323,,,,,,,,
10/10/2022,0.000198579,0.00634225,,,,,,,,
11/10/2022,0.000199447,-0.034801627,,,,,,,,
12/10/2022,0.000200429,0.028433711,,,,,,,,
13/10/2022,0.000200089,0.015635721,,,,,,,,
14/10/2022,0.000200089,0.010333114,,,,,,,,
17/10/2022,0.000198617,-0.009671799,,,,,,,,
18/10/2022,0.000195747,0.011487476,,,,,,,,
19/10/2022,0.000195558,-0.003375139,,,,,,,,
20/10/2022,0.00019552,-0.001528201,,,,,,,,
21/10/2022,0.000196578,-0.036496764,,,,,,,,
24/10/2022,0.00019722,-0.03301563,,,,,,,,
25/10/2022,0.000199636,0.011712214,,,,,,,,
26/10/2022,0.000200127,-0.004350005,,,,,,,,
27/10/2022,0.000201334,0.034881614,,,,,,,,
28/10/2022,0.000200768,-0.00063229,,,,,,,,
31/10/2022,0.000200957,0.000564554,,,,,,,,
01/11/2022,0.000200957,0.005652081,,,,,,,,
02/11/2022,0.000200806,-0.010215236,,,,,,,,
03/11/2022,0.000201523,-0.003303394,,,,,,,,
04/11/2022,0.000201523,-0.022219825,,,,,,,,
07/11/2022,0.000201297,-0.022022765,,,,,,,,
08/11/2022,0.000200316,0.00662435,,,,,,,,
09/11/2022,0.000199938,0.00401365,,,,,,,,
10/11/2022,0.000199825,-0.038910703,,,,,,,,
11/11/2022,0.000199976,0.007696043,,,,,,,,
14/11/2022,0.000198957,-0.01413261,,,,,,,,
15/11/2022,0.000199334,-0.03096574,,,,,,,,
16/11/2022,0.000199183,0.033994956,,,,,,,,
17/11/2022,0.000198504,0.027956305,,,,,,,,
18/11/2022,0.000198995,7.222E-05,,,,,,,,
21/11/2022,0.000198995,-0.008954639,,,,,,,,
22/11/2022,0.000199146,-0.008879405,,,,,,,,
23/11/2022,0.000199146,-0.006427761,,,,,,,,
24/11/2022,0.000199636,0.001807611,,,,,,,,
25/11/2022,0.000199636,0.025060409,,,,,,,,
28/11/2022,0.000199636,0.035235625,,,,,,,,
29/11/2022,0.000199485,0.026320238,,,,,,,,
30/11/2022,0.000199825,0.015753372,,,,,,,,
01/12/2022,0.000199976,-0.011579329,,,,,,,,
02/12/2022,0.000199976,0.04219902,,,,,,,,
05/12/2022,0.000199787,0.012648031,,,,,,,,
06/12/2022,0.000200051,-0.04112758,,,,,,,,
07/12/2022,0.000200051,-0.007313887,,,,,,,,
08/12/2022,0.000199372,0.009135271,,,,,,,,
09/12/2022,0.000199032,0.001218433,,,,,,,,
12/12/2022,0.000199032,-0.018767648,,,,,,,,
13/12/2022,0.000198844,0.01490209,,,,,,,,
14/12/2022,0.000198844,0.002845005,,,,,,,,
15/12/2022,0.000198504,0.004655236,,,,,,,,
16/12/2022,0.000198504,-0.002691127,,,,,,,,
19/12/2022,0.000198239,-0.013377926,,,,,,,,
20/12/2022,0.000198051,-0.014705316,,,,,,,,
21/12/2022,0.000198051,-0.00415392,,,,,,,,
22/12/2022,0.000197107,0.003660883,,,,,,,,
23/12/2022,0.000197107,-0.00221981,,,,,,,,
26/12/2022,0.000196918,-0.0344297,,,,,,,,
27/12/2022,0.000196918,0.019650633,,,,,,,,
28/12/2022,0.000196578,0.011039549,,,,,,,,
29/12/2022,0.000195218,-0.006271784,,,,,,,,
30/12/2022,0.000195029,-0.00217975,,,,,,,,
03/01/2023,0.000194689,0.036550854,,,,,,,,
04/01/2023,0.00019484,0.002346968,,,,,,,,
05/01/2023,0.000193631,0.009050509,,,,,,,,
06/01/2023,0.00019295,-0.004148434,,,,,,,,
09/01/2023,0.0001914,0.002634482,,,,,,,,
10/01/2023,0.000190568,-0.000815777,,,,,,,,
11/01/2023,0.000190227,0.002287938,,,,,,,,
12/01/2023,0.000187578,0.000596727,,,,,,,,
13/01/2023,0.000186896,0.003578224,,,,,,,,
16/01/2023,0.000186745,0.006140525,,,,,,,,
17/01/2023,0.000186745,0.020259122,,,,,,,,
18/01/2023,0.000186025,0.009179539,,,,,,,,
19/01/2023,0.000185685,0.008923043,,,,,,,,
27/01/2023,0.000184624,0.008140206,,,,,,,,
30/01/2023,0.00018307,-0.013006893,,,,,,,,
31/01/2023,0.000179961,0.007809028,,,,,,,,
01/02/2023,0.000173736,-0.031687035,,,,,,,,
02/02/2023,0.000169289,0.001505618,,,,,,,,
03/02/2023,0.000168071,-0.000408319,,,,,,,,
06/02/2023,0.000167919,0.011270482,,,,,,,,
07/02/2023,0.00016712,-0.021527784,,,,,,,,
08/02/2023,0.000167957,0.005985889,,,,,,,,
09/02/2023,0.000165446,-0.007638358,,,,,,,,
10/02/2023,0.000165331,-0.008204656,,,,,,,,
13/02/2023,0.000165217,-0.010992135,,,,,,,,
14/02/2023,0.000163465,-0.004848136,,,,,,,,
15/02/2023,0.000165217,0.009204344,,,,,,,,
16/02/2023,0.000167501,0.009626026,,,,,,,,
17/02/2023,0.00016887,0.000963819,,,,,,,,
20/02/2023,0.000169935,0.025847014,,,,,,,,
21/02/2023,0.000172634,-0.004104206,,,,,,,,
22/02/2023,0.000175787,-0.025826303,,,,,,,,
23/02/2023,0.000176812,-0.000588079,,,,,,,,
24/02/2023,0.000177609,-0.013381926,,,,,,,,
27/02/2023,0.000176394,-0.017613221,,,,,,,,
28/02/2023,0.000175901,0.003358629,,,,,,,,
01/03/2023,0.00017609,0.015487762,,,,,,,,
02/03/2023,0.000178102,-0.002825429,,,,,,,,
03/03/2023,0.000178292,-0.012374592,,,,,,,,
06/03/2023,0.000177912,0.002351747,,,,,,,,
07/03/2023,0.000176622,0.010377928,,,,,,,,
08/03/2023,0.000177647,0.01092654,,,,,,,,
09/03/2023,0.000175407,0.006452658,,,,,,,,
10/03/2023,0.000173356,-0.002793693,,,,,,,,
13/03/2023,0.000169365,-0.000189934,,,,,,,,
14/03/2023,0.000167234,-0.012034574,,,,,,,,
