time,DBD,HPG,VNM,ACB,,,,,,,,,,,,,,
6/2/2022,33.08,19.01,56.63,14.86,,,,,,,,,,,,,,
6/3/2022,33.03,19.15,55.99,14.83,,,,,,,,,,,,,,
6/6/2022,32.69,19.09,56.39,14.83,,,,,,,,,,,,,,
6/7/2022,33.48,19.03,56.23,14.63,,,,,,,,,,,,,,
6/8/2022,33.76,18.86,56.55,15.07,,,,,,,,,,,,,,
6/9/2022,34.44,19.38,55.92,15.1,,,,,,,,,,,,,,
6/10/2022,34.22,19.26,55.36,14.77,,,,,,,,,,,,,,
6/13/2022,33.27,18.23,52.89,14.01,,,,,,,,,,,,,,
6/14/2022,31.51,17.37,52.65,14.13,,,,,,,,,,,,,,
6/15/2022,31.87,16.86,51.38,13.84,,,,,,,,,,,,,,
6/16/2022,30.96,17.77,54.16,14.13,,,,,,,,,,,,,,
6/17/2022,29.53,17.58,53.13,13.54,,,,,,,,,,,,,,
6/20/2022,29.38,16.36,54.96,13.42,,,,,,,,,,,,,,
6/21/2022,30.52,15.76,58.7,13.48,,,,,,,,,,,,,,
6/22/2022,29.97,16.29,56.23,13.92,,,,,,,,,,,,,,
6/23/2022,30.55,16.51,56.31,13.92,,,,,,,,,,,,,,
6/24/2022,30.52,16.51,56.95,13.95,,,,,,,,,,,,,,
6/27/2022,30.52,17.35,56.63,14.04,,,,,,,,,,,,,,
6/28/2022,30.63,17.04,56.39,14.36,,,,,,,,,,,,,,
6/29/2022,30.41,17.23,57.59,14.19,,,,,,,,,,,,,,
6/30/2022,30.33,16.89,57.51,14.07,,,,,,,,,,,,,,
7/1/2022,30.19,16.97,58.7,14.1,,,,,,,,,,,,,,
7/4/2022,29.86,16.67,59.82,14.22,,,,,,,,,,,,,,
7/5/2022,30.52,16.59,58.23,14.33,,,,,,,,,,,,,,
7/6/2022,30.3,16.25,58.27,14.19,,,,,,,,,,,,,,
7/7/2022,30.04,16.48,60.16,14.16,,,,,,,,,,,,,,
7/8/2022,30.41,17.01,60.16,14.07,,,,,,,,,,,,,,
7/11/2022,30.66,16.7,60.16,13.78,,,,,,,,,,,,,,
7/12/2022,30.59,16.89,60.41,14.07,,,,,,,,,,,,,,
7/13/2022,30.55,16.89,59.75,14.07,,,,,,,,,,,,,,
7/14/2022,30.52,16.82,59.67,14.1,,,,,,,,,,,,,,
7/15/2022,30.41,17.58,59.01,14.07,,,,,,,,,,,,,,
7/18/2022,30.37,17.12,59.09,14.01,,,,,,,,,,,,,,
7/19/2022,30.33,16.78,60,14.01,,,,,,,,,,,,,,
7/20/2022,30.26,16.93,60.16,14.25,,,,,,,,,,,,,,
7/21/2022,30.15,17.2,60.33,14.45,,,,,,,,,,,,,,
7/22/2022,30.33,16.82,59.34,14.27,,,,,,,,,,,,,,
7/25/2022,30.11,16.59,60.08,14.1,,,,,,,,,,,,,,
7/26/2022,29.97,16.4,59.34,14.1,,,,,,,,,,,,,,
7/27/2022,30.19,16.1,59.5,14.19,,,,,,,,,,,,,,
7/28/2022,30.04,16.21,59.83,14.33,,,,,,,,,,,,,,
7/29/2022,30,16.29,60,14.42,,,,,,,,,,,,,,
8/1/2022,30.04,17.27,60.57,14.66,,,,,,,,,,,,,,
8/2/2022,30.04,17.35,60.49,14.6,,,,,,,,,,,,,,
8/3/2022,30.04,17.99,60.49,14.63,,,,,,,,,,,,,,
8/4/2022,30.04,17.92,60.41,14.66,,,,,,,,,,,,,,
8/5/2022,29.89,17.65,59.83,14.57,,,,,,,,,,,,,,
8/8/2022,30.08,17.88,59.5,14.51,,,,,,,,,,,,,,
8/9/2022,30.11,18.26,59.34,14.63,,,,,,,,,,,,,,
8/10/2022,30.04,18.03,59.75,14.57,,,,,,,,,,,,,,
8/11/2022,30.15,17.73,58.6,14.51,,,,,,,,,,,,,,
8/12/2022,30,18.14,59.25,14.54,,,,,,,,,,,,,,
8/15/2022,30.15,18.18,58.92,14.63,,,,,,,,,,,,,,
8/16/2022,30.41,18.6,59.17,14.57,,,,,,,,,,,,,,
8/17/2022,31.54,18.41,59.83,14.63,,,,,,,,,,,,,,
8/18/2022,31.47,18.29,60.49,14.74,,,,,,,,,,,,,,
8/19/2022,31.51,17.99,61.07,14.57,,,,,,,,,,,,,,
8/22/2022,31.03,17.69,60.74,14.45,,,,,,,,,,,,,,
8/23/2022,31.14,17.92,62.47,14.54,,,,,,,,,,,,,,
8/24/2022,31.51,17.8,64.03,14.57,,,,,,,,,,,,,,
8/25/2022,31.43,18.07,64.2,14.66,,,,,,,,,,,,,,
8/26/2022,31.43,17.8,63.37,14.54,,,,,,,,,,,,,,
8/29/2022,30.96,17.42,62.22,14.39,,,,,,,,,,,,,,
8/30/2022,30.74,17.46,62.63,14.39,,,,,,,,,,,,,,
8/31/2022,30.77,17.42,62.22,14.45,,,,,,,,,,,,,,
9/5/2022,30.77,18.11,63.87,14.36,,,,,,,,,,,,,,
9/6/2022,30.77,17.84,64.12,14.45,,,,,,,,,,,,,,
9/7/2022,30.7,17.42,62.39,14.25,,,,,,,,,,,,,,
9/8/2022,30.77,17.5,62.39,14.07,,,,,,,,,,,,,,
9/9/2022,30.77,18.03,62.55,14.07,,,,,,,,,,,,,,
9/12/2022,31.4,18.03,62.06,13.92,,,,,,,,,,,,,,
9/13/2022,31.51,17.95,62.39,13.95,,,,,,,,,,,,,,
9/14/2022,30.92,17.95,60.98,13.78,,,,,,,,,,,,,,
9/15/2022,31.14,17.88,61.4,13.81,,,,,,,,,,,,,,
9/16/2022,30.81,17.42,62.63,13.57,,,,,,,,,,,,,,
9/19/2022,30.63,17.16,61.97,13.4,,,,,,,,,,,,,,
9/20/2022,30.77,17.42,62.47,13.42,,,,,,,,,,,,,,
9/21/2022,30.74,17.35,63.37,13.25,,,,,,,,,,,,,,
9/22/2022,31.03,17.42,63.37,13.37,,,,,,,,,,,,,,
9/23/2022,31.14,17.2,63.21,13.25,,,,,,,,,,,,,,
9/26/2022,30.92,16.97,60.98,13.01,,,,,,,,,,,,,,
9/27/2022,31.14,16.97,59.67,13.13,,,,,,,,,,,,,,
9/28/2022,30.19,16.51,59.17,12.9,,,,,,,,,,,,,,
9/29/2022,31.1,16.4,59.91,12.9,,,,,,,,,,,,,,
9/30/2022,30.74,16.06,59.58,13.01,,,,,,,,,,,,,,
10/3/2022,29.53,14.96,58.51,12.66,,,,,,,,,,,,,,
10/4/2022,29.53,14.28,58.43,12.31,,,,,,,,,,,,,,
10/5/2022,30.37,14.55,59.01,12.19,,,,,,,,,,,,,,
10/6/2022,29.67,13.64,57.69,11.72,,,,,,,,,,,,,,
10/7/2022,28.94,13.33,57.52,10.93,,,,,,,,,,,,,,
10/10/2022,28.94,13.9,58.1,10.96,,,,,,,,,,,,,,
10/11/2022,29.31,13.26,57.85,10.26,,,,,,,,,,,,,,
10/12/2022,29.16,14.17,59.01,10.96,,,,,,,,,,,,,,
10/13/2022,28.87,14.77,60.82,11.7,,,,,,,,,,,,,,
10/14/2022,29.75,14.73,60.98,12.22,,,,,,,,,,,,,,
10/17/2022,29.02,14.58,61.07,12.28,,,,,,,,,,,,,,
10/18/2022,29.27,14.28,63.05,12.55,,,,,,,,,,,,,,
10/19/2022,29.24,13.94,63.13,12.37,,,,,,,,,,,,,,
10/20/2022,29.24,13.71,63.87,12.52,,,,,,,,,,,,,,
10/21/2022,28.91,12.8,63.46,11.96,,,,,,,,,,,,,,
10/24/2022,28.43,12.42,60.98,11.43,,,,,,,,,,,,,,
10/25/2022,28.36,12.95,62.63,11.96,,,,,,,,,,,,,,
10/26/2022,28.36,12.8,62.63,12.11,,,,,,,,,,,,,,
10/27/2022,28.36,13.18,64.69,12.93,,,,,,,,,,,,,,
10/28/2022,28.5,12.73,64.28,13.07,,,,,,,,,,,,,,
10/31/2022,28.47,11.86,64.69,13.13,,,,,,,,,,,,,,
11/1/2022,28.47,11.36,66.09,13.16,,,,,,,,,,,,,,
11/2/2022,28.43,11.63,64.53,12.78,,,,,,,,,,,,,,
11/3/2022,28.39,11.51,65.93,12.52,,,,,,,,,,,,,,
11/4/2022,28.28,11.1,65.93,11.81,,,,,,,,,,,,,,
11/7/2022,27.84,10.38,67.74,12.11,,,,,,,,,,,,,,
11/8/2022,27.55,9.96,67.91,12.49,,,,,,,,,,,,,,
11/9/2022,27.59,9.85,66.67,12.16,,,,,,,,,,,,,,
11/10/2022,27.15,9.17,64.61,11.72,,,,,,,,,,,,,,
11/11/2022,26.74,9.32,64.61,12.19,,,,,,,,,,,,,,
11/14/2022,26.74,9.24,65.11,11.9,,,,,,,,,,,,,,
11/15/2022,26.74,9.47,63.46,11.2,,,,,,,,,,,,,,
11/16/2022,26.6,10.11,61.4,11.96,,,,,,,,,,,,,,
11/17/2022,26.82,10.8,62.63,12.34,,,,,,,,,,,,,,
11/18/2022,26.67,11.44,63.46,12.4,,,,,,,,,,,,,,
11/21/2022,26.74,11.33,64.2,12.08,,,,,,,,,,,,,,
11/22/2022,26.74,11.21,65.52,11.93,,,,,,,,,,,,,,
11/23/2022,26.71,10.45,65.44,12.11,,,,,,,,,,,,,,
11/24/2022,26.67,10.87,66.92,12.31,,,,,,,,,,,,,,
11/25/2022,26.6,11.59,67.74,12.6,,,,,,,,,,,,,,
11/28/2022,26.82,12.39,67.33,13.04,,,,,,,,,,,,,,
11/29/2022,26.6,13.18,68.4,12.98,,,,,,,,,,,,,,
11/30/2022,26.6,13.94,68.24,12.96,,,,,,,,,,,,,,
12/1/2022,26.74,13.79,67.91,13.19,,,,,,,,,,,,,,
12/2/2022,26.63,14.73,69.23,13.78,,,,,,,,,,,,,,
12/5/2022,27.11,15.15,70.05,13.84,,,,,,,,,,,,,,
12/6/2022,26.89,14.09,67.99,13.07,,,,,,,,,,,,,,
12/7/2022,26.74,13.83,67.99,13.07,,,,,,,,,,,,,,
12/8/2022,26.38,14.32,66.75,13.28,,,,,,,,,,,,,,
12/9/2022,26.3,14.55,65.93,13.51,,,,,,,,,,,,,,
12/12/2022,26.63,14.09,64.69,13.19,,,,,,,,,,,,,,
12/13/2022,26.63,14.39,64.28,13.51,,,,,,,,,,,,,,
12/14/2022,26.67,14.55,63.87,13.57,,,,,,,,,,,,,,
12/15/2022,26.67,14.66,63.95,13.6,,,,,,,,,,,,,,
12/16/2022,27.59,15.45,64.28,13.48,,,,,,,,,,,,,,
12/19/2022,27.7,15.15,63.46,13.34,,,,,,,,,,,,,,
12/20/2022,27.62,14.39,64.86,13.22,,,,,,,,,,,,,,
12/21/2022,27.81,14.32,65.68,13.37,,,,,,,,,,,,,,
12/22/2022,28.25,14.32,64.59,13.42,,,,,,,,,,,,,,
12/23/2022,28.5,13.9,63.92,13.42,,,,,,,,,,,,,,
12/26/2022,28.94,12.95,63.76,12.96,,,,,,,,,,,,,,
12/27/2022,28.98,13.83,64.26,12.96,,,,,,,,,,,,,,
12/28/2022,28.83,13.79,64.59,12.9,,,,,,,,,,,,,,
12/29/2022,28.91,13.64,64.59,12.9,,,,,,,,,,,,,,
12/30/2022,28.91,13.64,63.84,12.84,,,,,,,,,,,,,,
1/3/2023,28.87,14.58,65.85,13.31,,,,,,,,,,,,,,
1/4/2023,28.65,14.7,66.52,13.28,,,,,,,,,,,,,,
1/5/2023,28.36,15,68.12,13.4,,,,,,,,,,,,,,
1/6/2023,28.94,14.7,66.94,13.57,,,,,,,,,,,,,,
